#dt, x, y, z
553568710, 679, -577, 729
553601630, 754, -531, 506
553634622, 812, -529, 419
553667618, 672, -526, 164
553700622, 425, -280, 106
553733622, 305, -168, 114
553766622, 188, -279, 210
553799618, 92, 78, 590
553832622, -16, 267, 645
553865618, 152, 183, 834
553898622, 267, 491, 888
553931618, 474, 681, 860
553964622, 926, 663, 1170
553997618, 893, 689, 631
554030622, 714, 997, 508
554063618, 1020, 1202, 1012
554096622, 1057, 1118, 1016
554129618, 845, 1192, 479
554162622, 920, 1320, 480
554195618, 1022, 1221, 603
554228622, 1055, 1243, 500
554261618, 965, 1227, 102
554294622, 1015, 1250, 9
554327618, 1058, 985, 61
554360622, 905, 633, 188
554393618, 836, 770, 116
554426622, 766, 1028, -179
554459614, 717, 754, -316
554492618, 647, 475, -294
554525614, 716, 154, -186
554558618, 723, 202, -105
554591614, 868, 282, -77
554624618, 1637, 496, 223
554657618, 2184, 489, 411
554690622, 2638, 654, 400
554723618, 2560, 1662, 646
554756622, 2421, 1790, 738
554789618, 2109, 1916, 650
554822622, 1750, 1950, 497
554855618, 1554, 1852, 382
554888622, 1109, 1762, 274
554921618, 607, 1384, 273
554954622, 364, 1191, 260
554987618, -81, 822, 69
555020622, -285, 604, -28
555053614, -321, 492, -55
555086618, -264, 503, -168
555119614, -179, 480, -235
555152618, 35, 512, -238
555185614, 375, 863, -53
555218618, 706, 887, -99
555251614, 1211, 1108, -41
555284618, 1659, 1293, 315
555317618, 1686, 1220, 408
555350622, 1638, 1021, 412
555383618, 1479, 1328, 558
555416622, 1410, 1343, 621
555449618, 1357, 1019, 751
555482622, 1233, 623, 666
555515618, 1163, 458, 537
555548622, 969, 322, 279
555581618, 898, 230, 229
555614622, 967, 232, 175
555647618, 946, 325, 115
555680622, 929, 364, 102
555713618, 1007, 377, 79
555746622, 1092, 685, 119
555779618, 1228, 598, 245
555812622, 1566, 544, 332
555845618, 1793, 820, 291
555878622, 1822, 938, -10
555911614, 1867, 1085, -130
555944618, 1850, 1650, -130
555977614, 1739, 1700, -30
556010618, 1264, 1431, -23
556043614, 846, 1090, -237
556076618, 686, 1123, -400
556109614, 406, 1145, -264
556142618, 216, 1017, -102
556175614, 131, 984, -131
556208618, 21, 918, -116
556241614, 79, 876, -13
556274618, 123, 876, 29
556307618, 256, 963, 137
556340622, 346, 1231, 339
556373618, 686, 1363, 374
556406622, 1272, 1460, 469
556439618, 1574, 1409, 800
556472622, 1938, 1297, 880
556505618, 1874, 1087, 786
556538622, 1783, 965, 611
556571618, 1577, 591, 549
556604622, 1327, 209, 440
556637618, 1216, 121, 406
556670622, 1033, 105, 336
556703618, 916, 153, 236
556736622, 931, 183, 202
556769618, 1017, 371, 99
556802622, 1220, 324, 119
556835618, 1439, 285, 272
556868622, 1789, 241, 571
556901618, 1700, -19, 233
556934622, 1696, 183, -148
556967614, 1827, 513, -242
557000618, 1969, 772, 206
557033618, 1990, 831, 225
557066622, 1521, 846, -287
557099614, 1377, 836, -293
557132618, 1256, 785, -230
557165614, 971, 883, -191
557198618, 783, 896, -191
557231614, 468, 790, -182
557264618, 242, 682, -49
557297614, 186, 582, -21
557330618, 121, 570, -4
557363614, 131, 730, 61
557396622, 186, 822, 90
557429618, 481, 1022, 51
557462622, 838, 1106, 100
557495618, 1177, 1210, 162
557528622, 1710, 1514, 389
557561618, 1808, 1320, 483
557594622, 1789, 1062, 500
557627618, 1553, 645, 466
557660622, 1418, 553, 306
557693618, 1263, 468, 248
557726622, 1127, 297, 171
557759618, 1050, 320, 117
557792622, 960, 426, 69
557825618, 940, 503, -7
557858618, 962, 524, -56
557891614, 1117, 694, 9
557924622, 1432, 818, 204
557957618, 1545, 695, 414
557990622, 1446, 181, 585
558023618, 1301, 709, 101
558056622, 1248, 960, -12
558089614, 1333, 1102, 87
558122622, 1575, 978, 444
558155618, 1635, 896, 514
558188622, 1520, 1001, 390
558221618, 1462, 1153, 224
558254622, 1236, 1202, 141
558287618, 892, 1128, 6
558320622, 761, 1014, 23
558353618, 605, 997, 74
558386622, 449, 877, 114
558419618, 375, 796, 166
558452622, 293, 714, 136
558485618, 294, 796, 29
558518622, 295, 875, -8
558551614, 444, 973, -39
558584618, 773, 919, -46
558617614, 869, 977, -58
558650618, 1001, 1166, -59
558683614, 1238, 1295, 195
558716622, 1323, 1259, 327
558749618, 1390, 1255, 477
558782622, 1446, 1081, 434
558815618, 1475, 935, 399
558848622, 1505, 465, 279
558881618, 1440, 341, 264
558914622, 1245, 459, 233
558947618, 1190, 746, -46
558980618, 1193, 824, -247
559013614, 1363, 572, -143
559046618, 1620, 504, 169
559079618, 1550, 567, 395
559112622, 1341, 627, 231
559145618, 1340, 1043, -174
559178618, 1403, 1306, -183
559211614, 1534, 1578, -23
559244618, 1567, 1492, 147
559277618, 1528, 1452, 159
559310622, 1229, 1393, 81
559343618, 897, 1168, -10
559376618, 784, 1051, -64
559409614, 530, 878, -152
559442618, 360, 733, -204
559475614, 315, 720, -209
559508618, 163, 800, -166
559541614, 92, 833, -43
559574618, 112, 804, -22
559607614, 322, 749, -45
559640618, 407, 822, -35
559673614, 730, 1257, 52
559706622, 1238, 1484, 509
559739618, 1410, 1440, 645
559772622, 1442, 1593, 724
559805618, 1407, 1719, 703
559838622, 1443, 1614, 799
559871618, 1432, 1142, 911
559904622, 1327, 864, 881
559937618, 1288, 747, 776
559970622, 1156, 441, 568
560003618, 1052, 312, 441
560036622, 991, 394, 408
560069618, 882, 512, 362
560102622, 878, 647, 422
560135618, 1006, 654, 405
560168622, 1116, 711, 285
560201618, 1217, 665, -35
560234618, 1436, 565, -155
560267614, 1652, 642, -385
560300618, 1746, 829, -185
560333614, 1823, 1224, -124
560366618, 1643, 1451, -188
560399614, 1520, 1434, -276
560432618, 1281, 1343, -235
560465614, 1008, 1178, -174
560498618, 851, 1132, -172
560531614, 558, 938, -214
560564618, 409, 773, -117
560597614, 326, 733, -51
560630618, 133, 689, 14
560663618, -4, 659, 36
560696622, -16, 676, 52
560729618, 114, 882, 72
560762622, 247, 1102, 10
560795618, 586, 1112, -16
560828618, 1086, 1245, 187
560861618, 1343, 1528, 307
560894622, 1561, 1646, 309
560927618, 1521, 1367, 518
560960622, 1404, 1204, 778
560993618, 1268, 940, 784
561026622, 1298, 510, 448
561059618, 1210, 335, 262
561092622, 1035, 320, 155
561125618, 899, 480, 206
561158622, 844, 541, 175
561191618, 922, 689, 25
561224622, 1136, 702, 102
561257618, 1319, 572, 321
561290622, 1638, 831, 546
561323618, 1370, 875, 529
561356622, 1250, 843, 237
561389618, 1218, 989, -161
561422618, 1281, 1117, 81
561455618, 1503, 1257, 358
561488622, 1502, 1348, 654
561521618, 1386, 1331, 514
561554622, 1171, 1380, 457
561587618, 868, 1358, 314
561620622, 698, 1279, 158
561653618, 446, 1027, 115
561686622, 301, 798, 95
561719618, 238, 717, 107
561752622, 93, 656, 119
561785618, -61, 644, 79
561818622, -94, 827, -3
561851614, -2, 1066, -193
561884618, 538, 1092, -89
561917614, 840, 1219, -11
561950618, 1361, 1602, 309
561983618, 1492, 1818, 417
562016622, 1484, 1716, 443
562049618, 1311, 1476, 648
562082622, 1265, 1122, 797
562115618, 1324, 908, 790
562148622, 1317, 521, 707
562181618, 1195, 513, 467
562214622, 889, 732, 325
562247618, 701, 773, 94
562280622, 678, 746, 41
562313618, 699, 836, 109
562346622, 888, 886, 377
562379618, 1069, 925, 531
562412622, 1326, 1164, 649
562445618, 1278, 752, 371
562478622, 1333, 854, 207
562511618, 1397, 1363, -19
562544618, 1477, 1815, 63
562577618, 1464, 1954, 206
562610622, 1354, 1996, 297
562643618, 1237, 1830, 106
562676622, 888, 1706, 5
562709618, 631, 1283, -28
562742618, 545, 1124, 21
562775618, 294, 967, 41
562808622, 48, 830, 43
562841618, -31, 777, 0
562874622, -172, 728, -25
562907614, -178, 683, -114
562940618, -98, 738, -115
562973614, 137, 982, -114
563006618, 643, 1422, 39
563039618, 1028, 1716, 207
563072622, 1589, 1512, 634
563105618, 1686, 1486, 807
563138622, 1663, 1516, 783
563171618, 1515, 1740, 774
563204622, 1374, 1448, 810
563237618, 1330, 1138, 835
563270622, 1298, 520, 719
563303618, 1256, 250, 404
563336622, 993, 270, 308
563369618, 876, 502, 256
563402622, 923, 527, 147
563435618, 1012, 858, 167
563468622, 1199, 1002, 269
563501618, 1234, 877, 232
563534622, 1358, 680, 48
563567618, 1594, 978, -215
563600618, 1702, 884, -256
563633614, 1789, 981, -219
563666618, 1637, 1358, -528
563699614, 1430, 1466, -666
563732618, 1138, 1502, -524
563765614, 933, 1385, -361
563798618, 756, 1270, -390
563831614, 471, 1041, -342
563864618, 371, 1009, -129
563897614, 117, 918, -90
563930618, -91, 737, -81
563963614, -171, 766, -24
563996618, -205, 811, 0
564029618, 62, 795, 83
564062622, 275, 842, 279
564095618, 809, 1551, 374
564128622, 1215, 1972, 384
564161618, 1365, 1940, 403
