#dt, x, y, z
1049056179, 443, 47, 981
1049089099, 449, 91, 1009
1049122091, 415, -80, 1052
1049155087, 441, -54, 888
1049188091, 364, -92, 863
1049221091, 386, -127, 880
1049254091, 391, -97, 886
1049287087, 315, -48, 837
1049320091, 302, -38, 852
1049353087, 357, -20, 898
1049386091, 503, 100, 1010
1049419087, 506, 141, 1050
1049452091, 398, 137, 1029
1049485087, 306, 82, 940
1049518091, 299, 50, 905
1049551087, 361, 10, 910
1049584091, 408, 23, 911
1049617087, 407, 29, 906
1049650091, 393, 64, 953
1049683087, 361, 130, 1004
1049716091, 337, 133, 985
1049749087, 364, 81, 936
1049782091, 419, 56, 934
1049815087, 427, 47, 938
1049848091, 432, 20, 931
1049881087, 465, 28, 1032
1049914091, 581, 82, 1130
1049947087, 555, 176, 1035
1049980091, 554, -118, 947
1050013087, 475, -158, 874
1050046091, 393, -192, 807
1050079087, 336, -186, 834
1050112091, 168, -116, 793
1050145087, 63, -223, 653
1050178091, 60, -286, 598
1050211087, 95, -265, 667
1050244091, 158, -187, 800
1050277087, 168, -126, 826
1050310091, 415, -12, 1264
1050343087, 748, 110, 1366
1050376091, 755, 50, 1170
1050409087, 543, -69, 815
1050442091, 365, -193, 759
1050475087, 369, -225, 781
1050508091, 491, -140, 905
1050541087, 516, -55, 947
1050574091, 530, -66, 930
1050607087, 567, -130, 866
1050640091, 577, -146, 836
1050673087, 544, -141, 839
1050706091, 645, -175, 848
1050739087, 653, -179, 715
1050772091, 626, -237, 794
1050805087, 495, -110, 908
1050838091, 402, -102, 940
1050871087, 207, -103, 926
1050904091, 189, -115, 878
1050937087, 291, -116, 910
1050970091, 427, -123, 896
1051003087, 482, -138, 882
1051036091, 497, -124, 895
1051069087, 505, -103, 941
1051102091, 445, -93, 956
1051135087, 411, -82, 940
1051168091, 389, -87, 881
1051201087, 406, -123, 906
1051234091, 462, -109, 902
1051267087, 459, -90, 933
1051300091, 451, -85, 945
1051333087, 479, -81, 965
1051366091, 461, -86, 956
1051399087, 427, -101, 890
1051432091, 345, -133, 868
1051465087, 342, -127, 913
1051498091, 367, -125, 934
1051531087, 442, -134, 980
1051564091, 541, -117, 1142
1051597087, 554, -78, 1176
1051630091, 510, -96, 1120
1051663087, 425, -182, 989
1051696091, 366, -238, 914
1051729087, 114, -349, 691
1051762091, 143, 10, 1083
1051795087, 292, 182, 1143
1051828091, 301, 132, 1181
1051861087, 249, 67, 1293
1051894091, 26, 25, 1256
1051927087, -173, -133, 979
1051960091, -160, -203, 1040
1051993087, -139, -146, 1115
1052026091, -284, -55, 1027
1052059087, -325, -168, 831
1052092091, -223, -316, 473
1052125087, -77, -270, 435
1052158091, -43, -173, 423
1052191087, 76, -13, 504
1052224091, 142, -36, 599
1052257087, 173, -72, 784
1052290091, 212, 23, 1120
1052323087, 108, -231, 1089
1052356091, 149, -366, 1079
1052389087, 271, -334, 1137
1052422091, 283, -222, 1118
1052455087, 335, -142, 1124
1052488091, 478, -166, 1146
1052521087, 448, -91, 959
1052554091, 394, -109, 874
1052587087, 325, -216, 859
1052620091, 259, -215, 847
1052653087, 246, -212, 935
1052686091, 273, -139, 1020
1052719087, 331, -151, 1106
1052752091, 360, -109, 1149
1052785087, 288, -146, 1044
1052818091, 271, -186, 976
1052851087, 256, -235, 839
1052884091, 250, -299, 768
1052917087, 184, -305, 746
1052950091, 53, -295, 737
1052983087, 18, -309, 794
1053016091, 30, -315, 827
1053049087, 174, -303, 1030
1053082091, 235, -101, 1235
1053115087, 285, 10, 1321
1053148091, 123, 42, 1265
1053181087, 50, 25, 1167
1053214091, 53, 12, 1122
1053247087, 142, -79, 966
1053280091, 191, -143, 927
1053313087, 251, -166, 935
1053346091, 225, 29, 1020
1053379087, 236, -39, 1030
1053412091, 274, -273, 954
1053445087, 280, -248, 852
1053478091, 285, -209, 867
1053511087, 322, -209, 917
1053544091, 340, -238, 902
1053577087, 328, -225, 893
1053610091, 328, -103, 959
1053643087, 325, -49, 1063
1053676091, 328, -98, 1046
1053709087, 336, -144, 954
1053742091, 329, -195, 875
1053775087, 326, -194, 854
1053808091, 291, -191, 816
1053841087, 273, -177, 794
1053874091, 259, -75, 834
1053907087, 366, 81, 1078
1053940091, 456, 142, 1184
1053973087, 512, 119, 1178
1054006091, 355, 40, 894
1054039087, 307, -13, 816
1054072091, 392, -40, 866
1054105087, 423, -17, 891
