#dt, x, y, z
897448971, -200, -281, 941
897481900, -190, -297, 930
897514883, -173, -316, 928
897547879, -156, -337, 945
897580883, -145, -351, 969
897613883, -127, -362, 1023
897646883, -132, -341, 1017
897679879, -145, -323, 1013
897712883, -182, -312, 946
897745879, -214, -300, 899
897778883, -290, -282, 885
897811888, -343, -280, 885
897844883, -349, -273, 888
897877879, -334, -311, 863
897910883, -358, -325, 884
897943879, -401, -204, 960
897976883, -320, -289, 967
898009879, -334, -318, 940
898042883, -383, -392, 780
898075879, -508, -298, 662
898108883, -506, -197, 832
898141888, -510, -258, 875
898174883, -407, -144, 733
898207879, -583, -432, 653
898240883, -505, -415, 646
898273879, -244, -168, 682
898306883, -387, -459, 947
898339879, 144, -570, 1417
898372883, -79, -415, 913
898405879, -160, -465, 931
898438883, 94, -543, 1020
898471888, -6, -525, 674
898504883, -8, -664, 604
898537879, 107, -448, 998
898570883, 5, -340, 946
898603879, -46, -312, 932
898636883, 134, -342, 859
898669879, 234, -444, 1111
898702883, 253, -447, 1010
898735879, 331, -410, 915
898768883, 477, -275, 1008
898801888, 584, -263, 1068
898834883, 515, -491, 510
898867879, 338, -481, 620
898900883, 545, -293, 773
898933879, 670, -594, 758
898966883, 480, -506, 507
898999879, 237, -275, 476
899032883, 652, -264, 936
899065879, 588, -180, 817
899098883, 551, -211, 910
899131888, 655, -268, 875
899164883, 667, -226, 912
899197879, 655, -179, 886
899230883, 674, -198, 769
899263879, 678, -215, 755
899296883, 614, -206, 763
899329879, 602, -110, 743
899362883, 624, -147, 743
899395879, 700, -268, 768
899428883, 768, -181, 771
899461888, 790, -183, 766
899494883, 734, -236, 666
899527879, 731, -299, 588
899560883, 726, -265, 608
899593879, 772, -229, 691
899626883, 763, -235, 688
899659879, 705, -250, 685
899692883, 694, -229, 711
899725879, 687, -217, 723
899758883, 692, -195, 713
899791888, 682, -200, 712
899824883, 679, -196, 706
899857879, 702, -239, 720
899890883, 681, -247, 708
899923879, 668, -255, 696
899956883, 685, -243, 717
899989879, 681, -235, 722
900022883, 672, -224, 723
900055879, 661, -236, 743
900088883, 670, -249, 770
900121888, 663, -238, 757
900154883, 590, -229, 688
900187879, 597, -285, 716
900220883, 696, -293, 780
900253879, 670, -226, 795
900286883, 615, -224, 728
900319879, 612, -270, 708
900352883, 665, -271, 737
900385879, 672, -260, 744
900418883, 627, -271, 668
900451888, 633, -296, 630
900484883, 636, -294, 620
900517879, 691, -298, 683
900550883, 721, -250, 809
900583879, 716, -226, 838
900616883, 658, -284, 783
900649879, 584, -271, 744
900682883, 587, -252, 734
900715879, 626, -230, 755
900748883, 634, -217, 767
900781888, 631, -214, 773
900814883, 643, -237, 807
900847879, 644, -233, 819
900880883, 608, -238, 777
900913879, 589, -281, 713
900946883, 613, -285, 736
900979879, 622, -260, 745
901012883, 604, -248, 748
901045879, 608, -256, 753
901078883, 620, -257, 773
901111888, 617, -268, 764
901144883, 619, -275, 759
901177879, 631, -264, 762
901210883, 627, -250, 770
901243879, 628, -241, 779
901276883, 630, -238, 790
901309879, 617, -257, 772
901342883, 610, -271, 763
901375879, 610, -270, 769
901408883, 620, -256, 776
901441888, 622, -263, 775
901474883, 595, -263, 759
901507879, 607, -280, 773
901540883, 602, -296, 762
901573879, 611, -317, 734
901606883, 608, -304, 793
901639879, 682, -233, 870
901672883, 610, -204, 943
901705879, 478, -224, 872
901738883, 314, -272, 778
901771888, 372, -284, 809
901804883, 407, -297, 834
901837879, 491, -309, 773
901870883, 691, -408, 804
901903879, 735, -460, 826
901936883, 508, -478, 693
901969879, 478, -531, 697
902002883, 615, -503, 728
902035879, 617, -450, 741
902068883, 562, -356, 615
902101888, 603, -325, 598
902134883, 626, -375, 550
902167879, 630, -354, 535
902200883, 794, -287, 609
902233879, 840, -191, 680
902266883, 808, -192, 687
902299879, 823, -414, 635
902332883, 632, -560, 733
902365879, 601, -448, 852
902398883, 631, -357, 604
902431888, 421, -437, 491
902464883, 379, -450, 540
902497879, 567, -444, 745
902530883, 821, -585, 915
902563879, 789, -468, 855
902596883, 532, -329, 698
902629879, 477, -338, 644
902662883, 508, -356, 670
902695879, 675, -417, 768
902728883, 689, -434, 745
902761888, 599, -420, 692
902794883, 551, -423, 630
902827879, 573, -434, 617
902860883, 660, -458, 608
902893879, 730, -445, 661
902926883, 739, -424, 692
902959879, 648, -431, 678
902992883, 576, -428, 655
903025879, 575, -417, 654
903058883, 634, -394, 689
903091888, 677, -383, 718
903124883, 669, -389, 700
903157879, 633, -402, 663
903190883, 658, -444, 664
903223879, 666, -459, 633
903256883, 668, -464, 587
903289879, 673, -415, 615
903322883, 690, -426, 632
903355879, 679, -442, 645
903388883, 654, -435, 621
903421888, 653, -444, 613
903454883, 724, -439, 604
903487879, 752, -447, 582
903520883, 751, -437, 577
903553879, 699, -421, 622
903586883, 684, -381, 620
903619879, 648, -429, 571
903652883, 637, -444, 594
903685879, 657, -467, 589
903718883, 691, -586, 567
903751888, 629, -534, 628
903784883, 588, -478, 644
903817879, 622, -401, 659
903850883, 643, -366, 757
903883879, 651, -392, 806
903916883, 639, -347, 794
903949879, 575, -336, 746
903982883, 526, -355, 732
904015879, 549, -380, 743
904048883, 571, -373, 749
904081888, 575, -372, 754
904114883, 582, -359, 747
904147879, 576, -366, 758
904180883, 514, -312, 796
904213879, 515, -335, 802
904246883, 503, -332, 814
904279879, 485, -293, 841
904312883, 508, -317, 835
904345879, 512, -329, 836
904378883, 480, -300, 832
904411888, 462, -328, 815
904444883, 474, -323, 821
904477879, 484, -308, 837
904510883, 478, -300, 853
904543879, 449, -283, 844
904576883, 446, -282, 863
904609879, 440, -289, 874
904642883, 417, -274, 872
904675879, 431, -263, 861
904708883, 497, -294, 865
904741888, 548, -336, 846
904774883, 490, -343, 789
904807879, 472, -366, 773
904840883, 472, -354, 781
904873879, 522, -328, 839
904906883, 521, -322, 861
904939879, 467, -296, 850
904972883, 437, -306, 846
905005879, 440, -309, 848
905038883, 468, -300, 855
905071888, 486, -308, 851
905104883, 474, -314, 842
905137879, 421, -300, 837
905170883, 387, -284, 841
905203879, 484, -315, 844
905236883, 560, -329, 851
905269879, 554, -345, 780
905302883, 537, -401, 749
905335879, 536, -392, 798
905368883, 576, -394, 949
905401888, 591, -443, 947
905434883, 397, -694, 975
905467879, 425, -744, 996
905500883, 567, -558, 1110
905533879, 630, -464, 1005
905566883, 579, -572, 920
905599879, 465, -621, 842
905632883, 478, -540, 769
905665879, 529, -598, 626
905698883, 418, -641, 531
905731888, 370, -394, 448
905764883, 281, -521, 280
905797879, 91, -893, 209
905830883, 61, -871, 258
905863879, 289, -1021, 308
905896883, 310, -1128, 352
905929879, 243, -982, 335
905962883, 116, -805, 321
905995879, -53, -714, 155
906028883, -63, -676, -11
906061883, 86, -830, 103
906094883, 13, -819, 98
906127879, 12, -886, 87
906160883, -165, -1209, 107
906193879, -107, -950, 375
906226883, -82, -858, 515
906259879, -163, -830, 493
906292883, -222, -893, 288
906325879, -191, -897, 257
906358883, -90, -941, 309
906391888, -91, -940, 268
906424883, -34, -1006, 239
906457879, -4, -1040, 265
906490883, -14, -984, 283
906523879, -52, -978, 265
906556883, -72, -937, 254
906589879, -49, -936, 268
906622883, -49, -953, 261
906655879, -60, -951, 249
906688883, -54, -956, 253
906721888, -19, -973, 285
906754883, -34, -953, 310
906787879, -38, -943, 301
906820883, -26, -910, 281
906853879, -20, -810, 216
906886883, -95, -801, 169
906919879, -256, -604, 20
906952883, -112, -420, 211
906985879, 20, -430, 311
907018883, 185, -596, 340
907051888, 354, -648, 425
907084883, 670, -702, 555
907117879, 638, -690, 625
907150883, 591, -715, 601
907183879, 559, -627, 633
907216883, 751, -704, 895
907249879, 772, -692, 1023
907282883, 845, -672, 1072
907315879, 756, -671, 1072
907348883, 625, -644, 989
907381888, 469, -462, 789
907414883, 519, -407, 737
907447879, 530, -447, 733
907480883, 596, -442, 715
907513879, 532, -501, 688
907546883, 491, -557, 685
907579879, 577, -571, 727
907612883, 572, -573, 698
907645879, 591, -501, 684
907678883, 599, -438, 662
907711888, 606, -490, 676
907744883, 569, -494, 705
907777879, 541, -464, 752
907810883, 543, -462, 779
907843879, 521, -432, 770
907876883, 469, -430, 724
907909879, 502, -439, 746
907942883, 514, -450, 731
907975879, 545, -469, 741
908008883, 549, -464, 727
908041888, 529, -479, 712
908074883, 519, -467, 717
908107879, 520, -471, 707
908140883, 506, -484, 683
908173879, 546, -448, 716
908206883, 554, -428, 765
908239879, 549, -428, 787
908272883, 551, -440, 773
908305879, 552, -430, 778
908338883, 556, -442, 759
908371888, 543, -477, 736
908404883, 576, -451, 790
908437879, 550, -420, 793
908470883, 504, -461, 756
908503879, 496, -414, 795
908536883, 489, -323, 859
908569879, 480, -280, 866
908602883, 497, -366, 898
908635879, 419, -375, 830
908668883, 371, -369, 810
908701888, 305, -400, 737
908734883, 283, -411, 740
908767879, 285, -429, 742
908800883, 365, -479, 770
908833879, 383, -414, 851
908866883, 374, -376, 868
908899879, 329, -340, 817
908932883, 340, -294, 871
908965879, 343, -191, 909
908998883, 302, -95, 1021
909031888, 281, -74, 1060
909064883, 305, -53, 1065
909097879, 351, -62, 1017
909130883, 355, -83, 991
909163879, 343, -105, 981
909196883, 345, -143, 936
909229879, 336, -139, 918
909262883, 311, -140, 915
909295879, 282, -141, 911
909328883, 278, -166, 925
909361888, 237, -95, 971
909394883, 383, -58, 938
909427879, 393, -61, 940
909460883, 353, -145, 914
909493879, 469, -192, 916
909526883, 531, -195, 923
909559879, 544, -180, 931
909592883, 514, -210, 881
909625879, 472, -241, 879
909658883, 425, -243, 871
909691888, 410, -240, 875
909724883, 388, -225, 884
909757879, 399, -236, 879
909790883, 408, -255, 892
909823879, 412, -246, 892
909856883, 408, -253, 891
909889879, 416, -255, 888
909922883, 418, -244, 881
909955879, 440, -250, 874
909988883, 446, -253, 870
910021888, 465, -258, 878
910054883, 442, -268, 869
910087879, 426, -255, 868
910120883, 440, -249, 882
910153879, 448, -250, 892
910186883, 431, -243, 886
910219879, 427, -244, 873
910252883, 436, -254, 888
910285879, 427, -254, 880
910318883, 419, -251, 867
910351888, 433, -240, 878
910384883, 481, -245, 885
910417879, 472, -246, 876
910450883, 447, -252, 856
910483879, 445, -262, 854
910516883, 489, -244, 896
910549879, 491, -225, 890
910582883, 479, -245, 854
910615879, 478, -277, 843
910648883, 461, -272, 846
910681888, 451, -244, 867
910714883, 473, -240, 886
910747879, 479, -241, 878
910780883, 483, -261, 844
910813879, 486, -266, 851
910846883, 479, -264, 854
910879879, 450, -260, 843
910912883, 448, -247, 858
910945879, 486, -236, 888
910978883, 505, -231, 886
911011888, 494, -243, 840
911044883, 473, -266, 836
911077879, 464, -266, 853
911110883, 464, -253, 865
911143879, 462, -238, 868
911176883, 496, -243, 869
911209879, 502, -247, 864
911242883, 501, -261, 852
911275879, 473, -267, 843
911308883, 476, -262, 850
911341888, 486, -255, 854
911374883, 653, -312, 868
911407879, 685, -313, 894
911440883, 645, -333, 861
911473879, 638, -339, 843
911506883, 691, -340, 815
911539879, 556, -359, 776
911572883, 476, -353, 814
911605879, 372, -299, 818
911638883, 277, -326, 794
911671888, 235, -351, 805
911704883, 179, -334, 828
911737879, 209, -338, 871
911770883, 231, -341, 889
911803879, 278, -362, 882
911836883, 346, -427, 850
911869879, 387, -401, 862
911902883, 471, -362, 903
911935879, 399, -488, 894
911968883, 404, -329, 972
912001888, 447, -251, 947
912034883, 452, -572, 686
912067879, 379, -738, 548
912100883, 386, -872, 535
912133879, 375, -634, 658
912166883, 383, -575, 667
912199879, 428, -627, 658
912232883, 452, -639, 661
912265879, 372, -600, 669
912298883, 366, -620, 710
912331888, 346, -609, 733
912364883, 321, -563, 771
912397879, 301, -555, 830
912430883, 295, -543, 852
912463879, 265, -540, 816
912496883, 249, -569, 793
912529879, 263, -568, 791
912562883, 302, -577, 779
912595879, 300, -609, 779
912628883, 299, -604, 787
912661888, 318, -581, 786
912694883, 317, -608, 739
912727879, 306, -618, 718
912760883, 301, -621, 696
912793879, 297, -638, 690
912826883, 313, -636, 704
912859879, 323, -608, 732
912892883, 315, -598, 731
912925879, 325, -610, 717
912958883, 338, -612, 705
912991888, 343, -622, 708
913024883, 341, -592, 729
913057879, 328, -595, 743
913090883, 345, -590, 766
913123879, 344, -559, 804
913156883, 334, -545, 821
913189879, 330, -533, 822
913222883, 308, -531, 806
913255879, 308, -555, 805
913288883, 305, -552, 804
913321888, 309, -541, 809
913354883, 312, -553, 791
913387879, 299, -551, 778
913420883, 315, -560, 765
913453879, 322, -556, 744
913486883, 326, -566, 745
913519879, 327, -567, 768
913552883, 306, -553, 768
913585879, 318, -554, 779
913618883, 343, -558, 792
913651888, 351, -561, 789
913684883, 359, -570, 793
913717879, 365, -567, 811
913750883, 355, -561, 813
913783879, 331, -565, 776
913816883, 295, -567, 735
913849879, 291, -558, 727
913882883, 332, -551, 747
913915879, 330, -569, 766
913948883, 338, -577, 788
913981888, 352, -560, 820
914014883, 344, -565, 821
914047879, 335, -568, 815
914080883, 313, -581, 773
914113879, 297, -595, 738
914146883, 269, -585, 727
914179879, 279, -591, 726
914212883, 285, -586, 732
914245879, 281, -610, 741
914278883, 297, -584, 773
914311888, 302, -577, 777
914344883, 303, -579, 777
914377879, 304, -583, 773
914410883, 305, -590, 773
914443879, 320, -593, 781
914476883, 301, -591, 780
914509879, 298, -586, 778
914542883, 299, -595, 762
914575879, 298, -597, 743
914608883, 309, -593, 739
914641888, 309, -598, 727
