#dt, x, y, z
289765965, 461, 887, 10
289798881, 584, 754, 25
289831879, 651, 766, 127
289864870, 852, 742, 146
289897874, 960, 724, 159
289930874, 1029, 721, 136
289963874, 1132, 703, 136
289996870, 1136, 640, 133
290029874, 1102, 638, 91
290062870, 1048, 673, 65
290095874, 1012, 597, 34
290128870, 960, 569, 26
290161879, 810, 601, 35
290194870, 657, 592, 20
290227874, 577, 536, -15
290260866, 478, 495, -31
290293870, 446, 538, -28
290326866, 388, 558, -23
290359870, 417, 711, -34
290392866, 384, 918, -25
290425870, 455, 981, 13
290458870, 627, 1112, 24
290491879, 676, 1222, 16
290524870, 920, 1254, 60
290557874, 1023, 1162, 209
290590870, 1011, 1131, 279
290623874, 980, 921, 206
290656870, 914, 689, 81
290689874, 879, 657, 73
290722870, 824, 665, 81
290755874, 754, 674, 111
290788870, 720, 630, 94
290821879, 706, 651, 86
290854870, 704, 679, 62
290887874, 721, 741, 93
290920870, 795, 735, 186
290953874, 847, 780, 221
290986870, 935, 956, 217
291019874, 889, 1068, 294
291052870, 880, 968, 272
291085874, 886, 807, 186
291118870, 945, 1031, -47
291151875, 982, 1159, -37
291184866, 1081, 1295, 46
291217874, 1056, 1221, 185
291250870, 1021, 1187, 189
291283874, 932, 1150, 183
291316870, 767, 1077, 163
291349874, 641, 1016, 115
291382870, 395, 860, 18
291415874, 166, 732, -92
291448866, 105, 669, -116
291481875, 104, 589, -74
291514866, 110, 604, 20
291547874, 128, 634, 25
291580870, 320, 772, -48
291613870, 455, 1120, -26
291646866, 764, 1296, 10
291679874, 1005, 1428, 86
291712870, 1093, 1367, 293
291745874, 1207, 1133, 364
291778870, 1185, 926, 460
291811879, 1179, 940, 375
291844870, 1144, 841, 251
291877874, 1043, 605, 97
291910870, 1018, 529, 87
291943874, 931, 556, 115
291976870, 874, 605, 132
292009874, 829, 627, 120
292042870, 744, 682, 83
292075874, 722, 690, 60
292108870, 737, 689, 64
292141879, 777, 743, 69
292174870, 804, 741, 96
292207874, 874, 722, 142
292240870, 959, 872, 131
292273874, 961, 1070, 184
292306870, 935, 1083, 206
292339874, 914, 1032, 223
292372870, 918, 993, 105
292405874, 894, 1007, -12
292438866, 988, 1038, -89
292471875, 1075, 1036, 27
292504870, 1165, 1057, 318
292537874, 1043, 999, 337
292570870, 907, 980, 261
292603874, 612, 938, 146
292636870, 346, 854, 67
292669874, 233, 763, 18
292702870, 68, 544, -77
292735870, 17, 451, -55
292768866, 22, 431, -30
292801875, 60, 472, 12
292834870, 83, 610, 46
292867874, 204, 723, 72
292900870, 474, 1002, 106
292933874, 664, 1186, 265
292966870, 1086, 1441, 196
292999874, 1482, 1988, 566
293032870, 1595, 1900, 815
293065874, 1497, 1058, 653
293098870, 1194, 715, 336
293131879, 1089, 702, 286
293164870, 958, 734, 279
293197874, 749, 700, 272
293230870, 643, 651, 233
293263874, 526, 560, 151
293296870, 491, 510, 100
293329874, 494, 518, 81
293362870, 543, 607, 102
293395874, 611, 720, 113
293428870, 658, 776, 99
293461879, 779, 829, 49
293494870, 821, 854, -4
293527870, 890, 876, -26
293560866, 934, 825, -106
293593870, 969, 927, -220
293626866, 948, 1100, -211
293659870, 889, 879, -149
293692866, 876, 839, -206
293725870, 912, 1011, -229
293758866, 841, 1122, -166
293791875, 826, 1126, -81
293824866, 773, 1077, 79
293857874, 627, 950, 80
293890870, 551, 888, 41
293923874, 386, 772, -34
293956866, 285, 706, -47
293989870, 254, 672, -38
294022866, 240, 586, -20
294055870, 257, 613, 31
294088870, 319, 670, 72
294121879, 384, 791, 146
294154870, 422, 935, 223
294187874, 557, 1005, 251
294220870, 771, 1170, 332
294253874, 858, 1243, 358
294286870, 1069, 1427, 408
294319874, 1179, 1303, 621
294352870, 1223, 1131, 640
294385874, 1183, 763, 494
294418870, 1021, 579, 244
294451879, 929, 596, 142
294484870, 723, 642, 49
294517874, 573, 653, 43
294550870, 526, 653, 42
294583874, 440, 674, -1
294616866, 411, 646, -107
294649870, 413, 657, -161
294682866, 427, 727, -222
294715870, 466, 777, -204
294748866, 594, 770, -181
294781875, 775, 798, -120
294814866, 854, 820, -55
294847870, 919, 782, -27
294880866, 1016, 932, -65
294913870, 1017, 1028, 25
294946870, 976, 945, 83
294979874, 836, 743, 65
295012870, 795, 781, -26
295045870, 766, 950, -102
295078866, 783, 1059, -20
295111875, 775, 1072, 39
295144870, 747, 977, 87
295177874, 677, 817, 94
295210870, 661, 771, 62
295243874, 599, 730, -32
295276866, 504, 734, -66
295309870, 444, 732, -65
