#dt, x, y, z
770885909, 512, 857, -66
770918825, 510, 857, -66
770951817, 515, 854, -64
770984813, 520, 855, -63
771017817, 530, 858, -61
771050817, 534, 854, -61
771083817, 534, 857, -69
771116813, 528, 850, -72
771149817, 518, 855, -69
771182813, 507, 864, -71
771215817, 489, 863, -90
771248813, 485, 863, -103
771281817, 485, 862, -105
771314813, 488, 864, -105
771347817, 487, 859, -101
771380813, 487, 857, -93
771413817, 483, 844, -81
771446813, 481, 829, -85
771479817, 483, 835, -86
771512813, 486, 870, -48
771545817, 494, 873, -43
771578813, 517, 876, -38
771611817, 520, 871, -48
771644813, 517, 873, -66
771677817, 502, 866, -75
771710813, 497, 868, -72
771743817, 492, 877, -55
771776813, 488, 875, -53
771809817, 507, 873, -62
771842813, 526, 869, -80
771875817, 589, 865, -102
771908813, 655, 856, -128
771941817, 670, 867, -150
771974813, 707, 861, -134
772007817, 741, 828, -102
772040813, 744, 831, -78
772073817, 723, 899, -31
772106813, 694, 930, 22
772139821, 665, 939, 45
772172817, 576, 957, 76
772205821, 524, 939, 51
772238817, 463, 929, 33
772271821, 429, 890, -8
772304813, 417, 883, -9
772337817, 407, 863, -1
772370813, 417, 840, -17
772403817, 418, 835, -62
772436813, 413, 821, -85
772469817, 430, 829, -122
772502813, 439, 839, -136
772535817, 444, 870, -132
772568813, 516, 886, -115
772601817, 569, 851, -141
772634813, 588, 874, -131
772667817, 608, 931, -87
772700813, 625, 938, -79
772733817, 655, 907, -88
772766813, 666, 852, -102
772799817, 678, 840, -98
772832813, 693, 813, -65
772865817, 682, 806, -33
772898813, 656, 813, -20
772931817, 653, 811, -17
772964813, 654, 781, -77
772997817, 627, 804, -87
773030813, 580, 850, -97
773063817, 564, 847, -110
773096813, 578, 833, -117
773129817, 584, 840, -86
773162813, 585, 853, -68
773195817, 591, 853, -58
773228813, 599, 834, -86
773261817, 604, 837, -94
773294813, 597, 866, -83
773327817, 614, 891, -82
773360813, 611, 877, -81
773393817, 576, 865, -86
773426813, 551, 854, -131
773459817, 507, 849, -154
773492813, 428, 860, -158
773525817, 404, 857, -155
773558813, 402, 849, -158
773591817, 422, 847, -160
773624813, 437, 836, -188
773657817, 453, 830, -185
773690813, 500, 845, -152
773723817, 526, 861, -131
773756813, 562, 874, -115
773789817, 603, 874, -113
773822813, 627, 860, -119
773855817, 665, 855, -119
773888813, 686, 838, -104
773921817, 688, 834, -100
773954813, 695, 816, -97
773987817, 681, 793, -114
774020813, 668, 802, -118
774053817, 646, 808, -126
774086813, 640, 791, -144
774119817, 646, 793, -151
774152813, 657, 782, -152
774185817, 663, 782, -155
774218813, 651, 798, -163
774251817, 631, 816, -177
774284813, 625, 823, -173
774317817, 627, 818, -168
774350813, 614, 828, -161
774383817, 607, 854, -160
774416813, 579, 875, -160
774449817, 554, 873, -160
774482813, 560, 857, -156
774515817, 573, 829, -144
774548813, 561, 833, -118
774581817, 545, 838, -108
774614813, 528, 824, -117
774647817, 527, 811, -134
774680813, 512, 808, -138
774713817, 498, 808, -142
774746813, 501, 809, -147
774779817, 499, 811, -146
774812813, 491, 825, -153
774845817, 490, 828, -175
774878813, 508, 827, -179
774911817, 535, 833, -173
774944813, 539, 836, -178
774977817, 556, 848, -167
775010813, 595, 860, -158
775043817, 609, 861, -160
775076813, 619, 854, -173
775109817, 633, 833, -169
775142813, 640, 826, -162
775175817, 651, 806, -152
775208813, 653, 802, -139
775241817, 648, 807, -138
775274813, 647, 783, -144
775307817, 642, 789, -136
775340813, 614, 800, -142
775373817, 587, 803, -167
775406813, 589, 797, -176
775439817, 621, 797, -170
775472813, 613, 826, -146
775505817, 608, 819, -156
775538813, 606, 818, -166
775571817, 605, 842, -168
775604813, 596, 835, -176
775637817, 592, 841, -164
775670813, 589, 857, -157
775703817, 578, 867, -154
775736813, 571, 887, -165
775769817, 580, 844, -192
775802813, 572, 833, -194
775835817, 547, 830, -180
775868813, 512, 842, -142
775901817, 491, 840, -122
775934813, 460, 822, -103
775967817, 449, 820, -99
776000813, 448, 820, -99
776033817, 475, 816, -104
776066813, 490, 819, -102
776099817, 524, 831, -99
776132813, 546, 833, -113
776165817, 556, 835, -126
776198813, 581, 844, -122
776231817, 614, 844, -116
776264813, 626, 848, -120
776297817, 635, 854, -117
776330813, 632, 853, -119
776363817, 630, 849, -126
776396813, 608, 834, -153
776429817, 613, 802, -166
776462813, 628, 786, -167
776495817, 623, 789, -156
776528813, 613, 827, -126
776561817, 619, 828, -120
776594813, 628, 804, -114
776627817, 633, 789, -114
776660813, 647, 792, -115
776693817, 643, 808, -107
776726813, 645, 801, -99
776759817, 654, 816, -96
776792813, 663, 850, -106
776825817, 656, 868, -109
776858813, 631, 874, -121
776891817, 615, 866, -131
776924813, 607, 856, -134
776957817, 584, 857, -125
776990813, 542, 854, -119
777023817, 512, 854, -125
777056813, 474, 834, -146
777089817, 463, 819, -137
777122813, 460, 813, -126
777155817, 472, 803, -112
777188813, 481, 793, -128
777221817, 495, 805, -130
777254813, 511, 831, -111
777287817, 520, 843, -100
777320813, 547, 846, -102
777353817, 575, 841, -108
777386813, 589, 845, -110
777419817, 619, 848, -110
777452813, 655, 830, -107
777485817, 664, 818, -100
777518813, 669, 822, -90
777551817, 676, 818, -95
777584813, 671, 810, -100
777617817, 662, 809, -105
777650813, 619, 834, -122
777683817, 613, 834, -135
777716813, 627, 784, -151
777749817, 622, 805, -124
777782813, 627, 810, -119
777815817, 642, 805, -135
777848813, 634, 817, -147
777881817, 616, 825, -143
777914813, 613, 837, -133
777947817, 609, 839, -123
777980813, 590, 859, -116
778013817, 582, 862, -120
778046813, 577, 864, -104
778079817, 559, 867, -96
778112813, 536, 854, -105
778145817, 522, 855, -104
778178813, 506, 851, -104
778211817, 492, 849, -109
778244813, 476, 855, -118
778277817, 469, 854, -122
778310813, 485, 841, -110
778343817, 486, 823, -115
778376813, 484, 828, -129
778409817, 495, 832, -142
778442813, 501, 832, -140
778475817, 521, 843, -126
778508813, 532, 853, -120
778541817, 549, 857, -120
778574813, 570, 864, -124
778607817, 580, 863, -122
778640813, 596, 858, -116
778673817, 602, 857, -100
778706813, 602, 864, -104
778739817, 600, 828, -112
778772813, 590, 826, -112
778805817, 590, 832, -113
778838813, 584, 827, -114
778871817, 592, 809, -121
778904813, 597, 811, -124
778937817, 610, 822, -122
778970813, 624, 808, -122
779003817, 625, 812, -120
779036813, 614, 841, -119
779069817, 602, 838, -118
779102813, 590, 835, -118
779135817, 586, 845, -126
779168813, 582, 867, -127
779201817, 563, 877, -119
779234813, 556, 881, -111
779267817, 557, 877, -123
779300813, 538, 878, -123
779333817, 508, 876, -122
779366813, 499, 870, -126
779399817, 479, 858, -128
779432813, 462, 860, -116
779465817, 453, 858, -111
779498813, 450, 843, -115
779531817, 461, 850, -113
779564813, 468, 848, -111
779597817, 488, 841, -110
779630813, 508, 846, -107
779663817, 517, 848, -109
779696813, 534, 852, -125
779729817, 541, 844, -129
779762813, 565, 842, -126
779795817, 576, 854, -117
779828813, 580, 855, -121
779861817, 595, 848, -122
779894813, 600, 848, -110
779927817, 609, 832, -122
779960813, 609, 816, -124
779993817, 611, 824, -123
780026813, 615, 813, -122
780059817, 624, 798, -113
780092813, 633, 804, -101
780125817, 626, 808, -109
780158813, 626, 814, -119
780191817, 667, 820, -76
780224813, 678, 811, -82
780257817, 605, 816, -145
780290813, 616, 840, -115
780323817, 612, 831, -113
780356813, 554, 835, -114
780389817, 539, 837, -107
780422813, 565, 830, -81
780455817, 563, 825, -64
780488813, 550, 833, -54
780521817, 521, 831, -44
780554813, 489, 825, -35
780587817, 480, 827, -53
780620813, 450, 841, -52
780653817, 506, 874, -25
780686813, 556, 876, -20
780719817, 624, 838, -39
780752813, 645, 805, -50
780785817, 635, 808, -55
780818813, 625, 858, -82
780851817, 617, 760, -181
780884813, 592, 733, -193
780917817, 549, 806, -156
780950813, 533, 865, -107
780983817, 518, 870, -104
781016813, 528, 892, -91
781049817, 540, 869, -102
781082813, 581, 848, -104
781115817, 617, 829, -105
781148813, 618, 829, -83
781181817, 605, 830, -69
781214813, 595, 812, -77
781247817, 593, 823, -89
781280813, 584, 850, -94
781313817, 588, 856, -58
781346813, 591, 857, -39
781379817, 580, 861, -26
781412813, 555, 865, -36
781445817, 541, 858, -45
781478813, 520, 839, -70
781511817, 523, 864, -99
781544813, 536, 900, -111
781577817, 567, 994, -141
781610813, 570, 925, -104
781643817, 553, 812, -116
781676813, 531, 736, -129
781709817, 499, 773, -184
781742813, 397, 769, -229
781775817, 347, 751, -271
781808813, 396, 749, -198
781841817, 514, 811, -149
781874813, 556, 884, -82
781907817, 563, 869, -78
781940813, 586, 819, -65
781973817, 641, 818, -66
782006813, 660, 806, -80
782039817, 668, 766, -104
782072813, 689, 745, -100
782105817, 695, 744, -122
782138813, 669, 812, -133
782171817, 680, 900, -124
782204813, 682, 876, -117
782237817, 679, 760, -139
782270813, 679, 720, -170
782303817, 686, 725, -175
782336813, 691, 770, -147
782369817, 706, 797, -124
782402813, 707, 822, -109
782435817, 671, 843, -104
782468813, 642, 853, -128
782501817, 599, 879, -136
782534813, 575, 896, -130
782567817, 572, 903, -116
782600813, 550, 890, -91
782633817, 529, 887, -63
782666813, 505, 861, -66
782699817, 504, 838, -64
782732813, 491, 835, -71
782765817, 483, 825, -77
782798813, 475, 828, -74
782831817, 473, 820, -92
782864813, 487, 821, -94
782897817, 557, 818, -123
782930813, 579, 796, -172
782963817, 607, 781, -198
782996813, 605, 808, -203
783029817, 612, 814, -194
783062813, 637, 795, -182
783095817, 663, 796, -148
783128813, 674, 799, -136
783161817, 688, 797, -118
783194813, 702, 771, -105
783227817, 703, 769, -96
783260813, 677, 789, -82
783293817, 645, 820, -92
783326813, 628, 818, -102
783359817, 609, 804, -115
783392813, 594, 794, -113
783425817, 590, 796, -113
783458813, 587, 807, -106
783491817, 589, 816, -101
783524813, 596, 822, -98
783557817, 604, 823, -99
783590813, 609, 811, -107
783623817, 619, 805, -115
783656813, 602, 816, -112
783689817, 589, 821, -107
783722813, 565, 828, -102
783755817, 561, 817, -126
783788813, 557, 803, -149
783821817, 525, 807, -154
783854813, 513, 834, -123
783887817, 509, 840, -108
783920813, 497, 840, -101
783953817, 506, 833, -120
783986813, 511, 833, -122
784019817, 536, 835, -120
784052813, 558, 832, -113
784085817, 567, 827, -111
784118813, 589, 828, -114
784151817, 597, 819, -108
784184813, 603, 815, -110
784217817, 606, 811, -118
784250813, 605, 814, -122
784283817, 602, 813, -122
784316813, 610, 809, -112
784349817, 610, 812, -107
784382813, 609, 800, -116
784415817, 618, 801, -114
784448813, 623, 815, -102
784481817, 601, 834, -94
784514813, 574, 826, -107
784547817, 571, 815, -115
784580813, 576, 814, -122
784613817, 581, 817, -113
784646813, 578, 821, -108
784679817, 572, 827, -100
784712813, 565, 834, -100
784745817, 564, 835, -99
784778813, 559, 828, -96
784811817, 557, 822, -101
784844813, 550, 824, -105
784877817, 544, 825, -109
784910813, 545, 830, -95
784943817, 553, 831, -90
784976813, 556, 833, -88
785009817, 562, 830, -95
785042813, 563, 823, -97
785075817, 567, 825, -99
785108813, 568, 821, -105
785141817, 571, 823, -104
785174813, 590, 819, -107
785207817, 597, 812, -117
785240813, 564, 833, -144
785273817, 553, 819, -225
785306813, 556, 805, -239
785339817, 605, 798, -164
785372813, 616, 822, -136
785405817, 567, 855, -155
785438813, 562, 853, -131
785471817, 593, 832, -89
785504813, 612, 827, -88
785537817, 593, 822, -118
785570813, 602, 826, -138
785603817, 570, 818, -164
785636813, 558, 801, -172
785669817, 552, 804, -151
785702813, 535, 807, -128
785735817, 515, 804, -146
785768813, 507, 805, -165
785801817, 522, 808, -175
785834813, 530, 840, -172
785867817, 538, 853, -175
785900813, 577, 842, -179
785933817, 609, 837, -142
785966813, 628, 849, -115
785999817, 624, 840, -121
786032813, 594, 854, -164
786065817, 571, 871, -137
786098813, 605, 835, -117
786131817, 618, 822, -95
786164813, 659, 805, -61
786197817, 686, 805, -58
786230813, 660, 804, -139
786263817, 572, 799, -161
786296813, 527, 802, -137
786329817, 513, 798, -123
786362813, 502, 806, -79
786395817, 522, 823, -52
786428813, 536, 780, -93
786461817, 595, 795, -166
786494813, 601, 879, -87
786527817, 564, 897, -125
786560813, 464, 916, -317
786593817, 616, 895, -233
786626813, 670, 862, -146
786659817, 605, 853, -105
786692813, 554, 890, -88
786725817, 528, 901, -101
786758813, 495, 898, -170
786791817, 509, 878, -158
786824813, 517, 870, -176
786857817, 525, 847, -179
786890813, 523, 829, -184
786923817, 540, 791, -153
786956813, 531, 852, -119
786989817, 518, 867, -114
787022813, 464, 894, -86
787055817, 446, 878, -46
787088813, 476, 845, -49
787121817, 562, 763, -92
787154813, 532, 856, -43
787187817, 511, 881, -23
787220813, 535, 907, -5
787253817, 539, 908, -34
787286813, 545, 904, -51
787319817, 569, 912, -52
787352813, 558, 875, -98
787385817, 546, 869, -130
787418813, 511, 854, -169
787451817, 485, 871, -154
787484813, 482, 881, -122
787517817, 543, 867, 1
787550817, 559, 849, 20
787583821, 569, 808, -12
787616813, 555, 869, -25
787649817, 549, 902, -11
787682813, 554, 892, -6
787715817, 585, 874, 3
787748817, 572, 863, -15
787781817, 530, 818, -65
787814813, 472, 789, -114
787847817, 475, 809, -103
787880813, 516, 820, -44
787913817, 527, 844, -4
787946813, 539, 839, -16
787979817, 518, 872, -61
788012813, 495, 887, -101
788045817, 545, 880, -81
788078813, 546, 896, -102
788111817, 507, 915, -198
788144813, 508, 885, -205
788177817, 568, 872, -141
788210813, 567, 869, -102
788243817, 551, 904, -48
788276813, 537, 900, -35
788309817, 558, 886, -27
788342813, 549, 901, -38
788375817, 526, 930, -55
788408813, 585, 885, -23
788441817, 627, 777, -72
788474813, 527, 809, -145
788507817, 491, 840, -134
788540813, 467, 875, -56
788573817, 467, 827, -36
788606817, 489, 792, -72
788639813, 497, 828, -109
788672817, 481, 895, -20
788705813, 454, 949, 19
788738821, 559, 899, 46
788771817, 598, 861, -9
788804817, 585, 835, -47
788837813, 591, 844, -69
788870817, 574, 831, -91
788903813, 575, 825, -95
788936817, 574, 840, -73
788969813, 581, 828, -59
789002817, 631, 807, -27
789035813, 611, 781, -59
789068817, 567, 814, -93
789101813, 549, 899, -144
789134817, 579, 955, -39
789167813, 536, 924, 16
789200821, 495, 806, -28
789233813, 492, 764, -105
789266817, 519, 753, -118
789299813, 570, 765, -104
789332817, 590, 779, -57
789365813, 622, 822, -36
789398817, 618, 859, -1
789431813, 601, 875, 13
789464821, 539, 901, 10
789497817, 497, 902, -14
789530817, 482, 892, -36
789563813, 461, 867, -73
789596817, 454, 860, -90
789629813, 468, 863, -84
789662817, 505, 852, -70
789695813, 524, 855, -59
789728817, 531, 856, -54
789761813, 552, 860, -40
789794817, 560, 857, -31
789827813, 557, 851, -37
789860817, 543, 838, -67
789893813, 536, 846, -74
789926817, 540, 846, -70
789959813, 556, 845, -48
789992817, 559, 847, -45
790025813, 551, 851, -50
790058817, 550, 852, -56
790091813, 553, 847, -54
790124817, 555, 843, -56
790157813, 550, 848, -47
790190817, 548, 855, -48
790223813, 536, 857, -45
790256817, 536, 849, -53
790289813, 533, 851, -59
790322817, 530, 856, -60
790355813, 523, 861, -60
790388817, 520, 863, -60
790421813, 529, 853, -62
790454817, 539, 838, -83
790487813, 609, 814, -105
790520817, 710, 809, -111
790553813, 842, 862, -33
790586817, 1194, 740, -56
790619813, 1210, 673, -175
790652817, 1179, 772, -87
790685813, 1107, 894, -3
790718817, 1070, 974, 252
790751817, 1037, 966, 311
790784821, 1043, 886, 414
790817817, 1040, 902, 643
790850821, 969, 937, 744
790883817, 889, 821, 816
790916821, 697, 659, 743
790949817, 593, 549, 645
790982821, 474, 321, 658
791015817, 417, 179, 700
791048821, 350, 107, 691
791081817, 286, -34, 631
791114821, 292, -213, 636
791147817, 247, -331, 565
791180821, 120, -376, 512
791213817, 136, -405, 465
791246821, 299, -579, 336
791279817, 598, -712, 294
791312821, 653, -648, 311
791345817, 683, -760, -94
791378817, 505, -654, -373
791411813, 454, -612, -451
791444817, 321, -630, -578
791477813, -14, -490, -722
791510817, -223, -408, -829
791543813, -289, -280, -738
791576817, -327, -240, -772
791609813, -395, -228, -851
791642817, -539, -111, -812
791675813, -553, 26, -643
791708817, -538, 31, -676
791741813, -628, 37, -789
791774817, -647, 37, -715
791807813, -591, 58, -671
791840817, -663, 134, -676
791873813, -676, 127, -700
791906817, -622, 115, -673
791939813, -656, 145, -667
791972817, -673, 158, -669
792005813, -704, 197, -649
792038817, -674, 183, -663
792071813, -675, 178, -688
792104817, -716, 161, -766
792137813, -672, 176, -669
792170817, -709, 197, -686
792203813, -701, 168, -739
792236817, -699, 165, -718
792269813, -717, 183, -686
792302817, -718, 202, -565
792335813, -697, 228, -502
792368817, -631, 226, -489
792401813, -524, 156, -533
792434817, -478, 126, -651
792467813, -341, 51, -586
792500817, -48, -52, -305
792533813, 108, -45, -248
792566817, 433, -167, -255
792599813, 742, -191, -136
792632817, 813, -197, -105
792665813, 742, -76, -106
792698817, 575, 159, -77
792731813, 504, 347, -55
792764817, 754, 645, 109
792797817, 987, 859, 280
792830821, 1071, 1023, 330
792863817, 1334, 1282, 356
792896821, 1391, 1343, 296
792929817, 1341, 1355, 228
792962821, 1254, 1380, 59
792995817, 1249, 1253, 2
793028821, 1256, 1175, 30
793061817, 1233, 976, 104
793094821, 1191, 891, 73
793127817, 984, 888, -23
793160817, 662, 941, -240
793193813, 545, 967, -308
793226817, 494, 873, -349
793259813, 509, 803, -330
793292817, 495, 830, -317
793325813, 410, 915, -378
793358817, 399, 923, -374
793391813, 397, 930, -316
793424817, 410, 990, -165
793457813, 373, 1015, -68
793490817, 347, 1010, -59
793523813, 318, 1024, -58
793556817, 321, 998, -67
793589813, 325, 988, -81
793622817, 313, 969, -95
793655813, 327, 906, -123
793688817, 342, 887, -131
793721813, 350, 885, -140
793754817, 356, 890, -157
793787813, 366, 927, -165
